constellation,constellationLabel,area,abbreviation,neighborConstellationsLabel
http://www.wikidata.org/entity/Q10468,Цефей,589,Cep,Малая Медведица
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Центавр
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Корма
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Муха
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Летучая Рыба
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Хамелеон
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Живописец
http://www.wikidata.org/entity/Q10470,Киль,494,Car,Паруса
http://www.wikidata.org/entity/Q10473,Компас,221,Pyx,Корма
http://www.wikidata.org/entity/Q10473,Компас,221,Pyx,Насос
http://www.wikidata.org/entity/Q10473,Компас,221,Pyx,Паруса
http://www.wikidata.org/entity/Q10473,Компас,221,Pyx,Гидра
http://www.wikidata.org/entity/Q10476,Возничий,657,Aur,Жираф
http://www.wikidata.org/entity/Q10476,Возничий,657,Aur,Близнецы
http://www.wikidata.org/entity/Q10476,Возничий,657,Aur,Рысь
http://www.wikidata.org/entity/Q10476,Возничий,657,Aur,Персей
http://www.wikidata.org/entity/Q10476,Возничий,657,Aur,Телец
http://www.wikidata.org/entity/Q10478,Малая Медведица,256,UMi,Дракон
http://www.wikidata.org/entity/Q10478,Малая Медведица,256,UMi,Жираф
http://www.wikidata.org/entity/Q10478,Малая Медведица,256,UMi,Цефей
http://www.wikidata.org/entity/Q10481,Насос,239,Ant,Центавр
http://www.wikidata.org/entity/Q10481,Насос,239,Ant,Компас
http://www.wikidata.org/entity/Q10481,Насос,239,Ant,Паруса
http://www.wikidata.org/entity/Q10481,Насос,239,Ant,Гидра
http://www.wikidata.org/entity/Q10484,Лира,286.5,Lyr,Дракон
http://www.wikidata.org/entity/Q10484,Лира,286.5,Lyr,Лебедь
http://www.wikidata.org/entity/Q10484,Лира,286.5,Lyr,Геркулес
http://www.wikidata.org/entity/Q10484,Лира,286.5,Lyr,Лисичка
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Золотая Рыба
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Корма
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Голубь
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Летучая Рыба
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Киль
http://www.wikidata.org/entity/Q10486,Живописец,247,Pic,Резец
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Золотая Рыба
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Голубь
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Эридан
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Заяц
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Живописец
http://www.wikidata.org/entity/Q10488,Резец,125,Cae,Часы
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Стрелец
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Южная Рыба
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Индеец
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Козерог
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Телескоп
http://www.wikidata.org/entity/Q10492,Микроскоп,209.5,Mic,Журавль
http://www.wikidata.org/entity/Q10498,Сетка,114,Ret,Золотая Рыба
http://www.wikidata.org/entity/Q10498,Сетка,114,Ret,Южная Гидра
http://www.wikidata.org/entity/Q10498,Сетка,114,Ret,Часы
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Столовая Гора
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Южная Гидра
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Индеец
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Хамелеон
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Райская Птица
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Павлин
http://www.wikidata.org/entity/Q10503,Октант,291,Oct,Тукан
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Жертвенник
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Южный Треугольник
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Муха
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Хамелеон
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Октант
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Циркуль
http://www.wikidata.org/entity/Q10506,Райская Птица,206,Aps,Павлин
http://www.wikidata.org/entity/Q10508,Циркуль,93,Cir,Центавр
