star,starLabel,constellation,constellationLabel,starTypeLabel
http://www.wikidata.org/entity/Q76961817,[VM2013] Mis-9,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76963643,[VM2013] Mis-1,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76965315,[VM2013] Mis-7,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76965968,[VM2013] Mis-4,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76966934,[VM2013] Mis-6,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76968391,[VM2013] Mis-3,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76969610,[VM2013] Mis-8,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q76973155,[VM2013] Mis-2,http://www.wikidata.org/entity/Q35821,карликовая галактика в Киле,переменная звезда
http://www.wikidata.org/entity/Q77471334,Cl* NGC 6229 BCS V1,http://www.wikidata.org/entity/Q1235956,NGC 6229,переменная звезда
http://www.wikidata.org/entity/Q77578765,V550 Киля,http://www.wikidata.org/entity/Q50050,IC 2602,переменная звезда
http://www.wikidata.org/entity/Q77579270,V542 Киля,http://www.wikidata.org/entity/Q45059,OB-ассоциация Скорпиона-Центавра,переменная звезда
